,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tongren,27.7172,109.1853,89.87,63,55,7.43,CN,1658377437
1,Bengkulu,-3.8004,102.2655,83.68,68,24,3.98,ID,1658377437
2,Tommot,58.9564,126.2925,78.4,55,13,4.36,RU,1658377438
3,Cherskiy,68.75,161.3,47.57,40,14,19.39,RU,1658377438
4,Yellowknife,62.456,-114.3525,66.72,42,20,10.36,CA,1658377438
5,Khatanga,71.9667,102.5,54.63,49,100,20.54,RU,1658377439
6,Avarua,-21.2078,-159.775,69.85,78,75,13.8,CK,1658377397
7,Correntina,-13.3433,-44.6367,66.94,64,34,3.22,BR,1658377439
8,Eydhafushi,5.1033,73.0708,82.06,72,100,15.64,MV,1658377439
9,Ponta do Sol,32.6667,-17.1,72.72,67,9,6.96,PT,1658376980
10,Inta,66.0317,60.1659,63.88,62,79,9.24,RU,1658377440
11,Smithers,54.7804,-127.1743,64.72,48,20,2.3,CA,1658377440
12,Esperance,-33.8667,121.9,57.04,68,100,17.67,AU,1658377441
13,Tuktoyaktuk,69.4541,-133.0374,48.2,100,100,4.61,CA,1658377155
14,Thompson,55.7435,-97.8558,59.16,88,40,8.05,CA,1658376938
15,Kapaa,22.0752,-159.319,84.18,73,40,17.27,US,1658377441
16,Rikitea,-23.1203,-134.9692,73.26,77,0,5.7,PF,1658376972
17,Prince Rupert,54.3161,-130.3201,56.89,82,75,6.91,CA,1658377442
18,Qaanaaq,77.484,-69.3632,40.75,80,100,6.76,GL,1658377442
19,Buala,-8.145,159.5921,85.15,67,70,7.36,SB,1658377442
20,Beyneu,45.3167,55.2,84.79,24,58,17.65,KZ,1658377443
21,Kaduy,59.2,37.15,55.53,94,82,9.15,RU,1658377443
22,Constitución,-35.3333,-72.4167,50.52,89,2,6.17,CL,1658377444
23,Hilo,19.7297,-155.09,78.53,81,20,10.36,US,1658377444
24,Husavik,66.0449,-17.3389,44.8,88,65,2.93,IS,1658377444
25,Ancud,-41.8697,-73.8203,40.23,64,62,12.48,CL,1658377445
26,Nishihara,26.1842,127.7558,88.88,79,20,10.36,JP,1658377445
27,Uni,57.7535,51.4923,58.86,80,9,3.71,RU,1658377445
28,Zonguldak,41.25,31.8333,52.65,69,0,3.76,TR,1658377446
29,Lebu,-37.6167,-73.65,50.36,92,100,3.6,CL,1658377446
30,Mentougou,39.9392,116.0917,88.74,42,13,3.38,CN,1658377446
31,Sinnamary,5.3833,-52.95,76.87,86,28,5.28,GF,1658377447
32,Ushuaia,-54.8,-68.3,29.86,86,100,18.41,AR,1658377232
33,Cape Town,-33.9258,18.4232,55.38,77,0,2.3,ZA,1658377161
34,Sept-Îles,50.2001,-66.3821,66.2,66,0,5.75,CA,1658377448
35,Leningradskiy,69.3833,178.4167,32.99,97,100,20.71,RU,1658377373
36,Busselton,-33.65,115.3333,60.35,72,41,17.18,AU,1658376974
37,Butaritari,3.0707,172.7902,80.91,77,93,8.03,KI,1658377448
38,Upernavik,72.7868,-56.1549,48.76,67,100,7.99,GL,1658377235
39,Cidreira,-30.1811,-50.2056,60.84,95,4,12.33,BR,1658377449
40,Mataura,-46.1927,168.8643,47.48,86,100,3.22,NZ,1658376976
41,Montefiascone,42.5393,12.0362,70.34,91,0,2.06,IT,1658377449
42,Lüderitz,-26.6481,15.1594,55.47,62,0,15.3,NA,1658377449
43,Zyryanka,65.75,150.85,62.29,40,63,2.68,RU,1658377450
44,Bredasdorp,-34.5322,20.0403,43.29,88,0,5.14,ZA,1658377450
45,Carnarvon,-24.8667,113.6333,68.07,94,100,17.27,AU,1658376979
46,Dikson,73.5069,80.5464,38.34,95,100,31.81,RU,1658377155
47,Punta Arenas,-53.15,-70.9167,32.11,80,20,18.41,CL,1658376976
48,Saldanha,-33.0117,17.9442,35.65,76,1,7.18,ZA,1658377451
49,Isla Mujeres,21.2311,-86.731,82.45,79,6,9.04,MX,1658377451
50,Cayenne,4.9333,-52.3333,78.1,1,0,1.14,GF,1658377452
51,Mayo,38.8876,-76.5119,84.13,85,0,4.61,US,1658377452
52,Kahului,20.8947,-156.47,76.96,73,40,23.02,US,1658377452
53,Pangnirtung,66.1451,-65.7125,45.48,87,100,0.63,CA,1658377453
54,Rzhev,56.2624,34.3282,59.2,95,97,12.26,RU,1658377453
55,Atuona,-9.8,-139.0333,77.59,76,35,15.55,PF,1658376980
56,Grand-Lahou,5.1367,-5.0242,73.24,73,65,7.18,CI,1658377453
57,Kūhdasht,33.535,47.6061,87.96,14,0,4.25,IR,1658377454
58,Orange Cove,36.6244,-119.3137,94.66,20,0,5.75,US,1658377454
59,Chokurdakh,70.6333,147.9167,59.13,28,59,9.73,RU,1658377455
60,Fairbanks,64.8378,-147.7164,67.6,56,75,5.75,US,1658377252
61,Nosy Varika,-20.5833,48.5333,67.55,77,68,8.08,MG,1658377455
62,Nikolskoye,59.7035,30.7861,68.88,79,6,7.72,RU,1658377456
63,Nome,64.5011,-165.4064,48.27,81,100,17.27,US,1658377456
64,Kulhudhuffushi,6.6221,73.07,81.75,75,100,18.28,MV,1658377456
65,Bandarbeyla,9.4942,50.8122,77.83,65,7,24.92,SO,1658377456
66,Hithadhoo,-0.6,73.0833,80.78,71,100,5.28,MV,1658377319
67,Torbay,47.6666,-52.7314,62.76,88,100,34.52,CA,1658377457
68,Tocopilla,-22.092,-70.1979,60.03,76,80,0.87,CL,1658377313
69,Belmonte,-15.8631,-38.8828,70.54,85,19,7.43,BR,1658377457
70,Puerto Carreño,6.189,-67.4859,74.34,89,94,3.44,CO,1658377458
71,La Ronge,55.1001,-105.2842,66.42,55,75,9.22,CA,1658377458
72,Daru,-9.0763,143.2092,80.02,79,66,11.79,PG,1658377458
73,Cosamaloapan,18.3667,-95.8,77.13,83,17,3.11,MX,1658377459
74,Kargat,55.1956,80.2811,64.99,83,94,7.9,RU,1658377327
75,San Luis,-33.295,-66.3356,49.42,53,0,4.5,AR,1658377459
76,Kidodi,-7.6036,37.0044,63.03,92,52,1.34,TZ,1658377460
77,Çorovodë,40.5042,20.2272,68.59,41,0,5.35,AL,1658377460
78,Waitati,-45.75,170.5667,45.81,65,82,8.46,NZ,1658377460
79,Swan Hill,-35.3378,143.5544,62.46,47,23,13.94,AU,1658377246
80,Port Elizabeth,-33.918,25.5701,52.32,94,0,5.75,ZA,1658377461
81,Port Shepstone,-30.7414,30.455,60.26,80,5,4.59,ZA,1658377461
82,Longyearbyen,78.2186,15.6401,51.64,82,75,10.36,SJ,1658377462
83,Raja,8.4596,25.678,67.86,95,99,3.36,SS,1658377462
84,Verkhnyaya Toyma,62.2349,44.9985,62.29,89,9,3.13,RU,1658377463
85,Leshan,29.5623,103.7639,88.09,54,75,3.2,CN,1658377463
86,Mar del Plata,-38.0023,-57.5575,55.09,68,0,17.27,AR,1658377207
87,Sørland,67.667,12.6934,51.66,89,100,12.75,NO,1658377463
88,Luziânia,-16.2525,-47.9503,60.49,57,0,3.27,BR,1658377464
89,Pithorāgarh,29.5833,80.2167,66.63,92,100,0.45,IN,1658377464
90,Lázaro Cárdenas,17.9583,-102.2,80.46,89,18,3.0,MX,1658377464
91,Saskylakh,71.9167,114.0833,59.02,46,30,19.62,RU,1658377465
92,Mount Gambier,-37.8333,140.7667,59.25,52,4,7.85,AU,1658377465
93,Yulara,-25.2406,130.9889,66.24,24,6,10.74,AU,1658377466
94,Albany,42.6001,-73.9662,81.01,72,15,4.94,US,1658376978
95,Vaini,-21.2,-175.2,77.16,83,20,8.05,TO,1658377466
96,Barrow,71.2906,-156.7887,46.42,76,0,13.8,US,1658377466
97,Port Alfred,-33.5906,26.891,55.18,95,67,3.0,ZA,1658377467
98,Batagay-Alyta,67.8006,130.4114,55.83,60,99,5.1,RU,1658377467
99,Nadym,65.5333,72.5167,56.89,54,69,16.13,RU,1658377467
100,Pinega,64.7001,43.3936,67.84,65,8,4.94,RU,1658377468
101,Aktash,50.3,87.7333,52.47,44,95,4.81,RU,1658377468
102,Evinayong,1.4368,10.5512,66.38,98,100,1.7,GQ,1658377468
103,Cockburn Town,21.4612,-71.1419,82.08,80,2,21.65,TC,1658377469
104,Baykit,61.67,96.37,70.41,47,36,4.38,RU,1658377469
105,Beringovskiy,63.05,179.3167,47.41,68,87,13.82,RU,1658377234
106,Xinyang,32.1228,114.0656,85.15,73,63,4.29,CN,1658377184
107,Salalah,17.0151,54.0924,75.29,100,100,6.91,OM,1658377421
108,Alice Springs,-23.7,133.8833,62.15,27,7,9.22,AU,1658377350
109,Skellefteå,64.7507,20.9528,62.01,94,75,1.01,SE,1658377470
110,Coffs Harbour,-30.3,153.1333,60.76,72,75,18.41,AU,1658377187
111,Saint-Augustin,51.226,-58.6502,57.9,87,98,10.02,CA,1658377463
112,Micheweni,-4.9667,39.8333,73.49,81,61,14.76,TZ,1658377471
113,Mahébourg,-20.4081,57.7,71.26,94,75,20.71,MU,1658377471
114,Ciudad Bolivar,8.1222,-63.5497,77.7,86,100,5.32,VE,1658377471
115,Sumalig,7.9986,123.6627,91.47,59,72,0.74,PH,1658377472
116,Castro,-24.7911,-50.0119,54.79,94,4,4.21,BR,1658377233
117,Nabire,-3.3667,135.4833,85.98,63,92,5.14,ID,1658377472
118,Champerico,14.3,-91.9167,81.45,80,100,6.42,GT,1658377472
119,Kaseda-shirakame,31.4167,130.3167,83.97,85,100,14.36,JP,1658377473
120,São Filipe,14.8961,-24.4956,75.18,90,46,4.94,CV,1658377473
121,Marystown,47.1666,-55.1483,55.85,100,99,8.99,CA,1658377473
122,Bang Sai,14.2124,100.4966,80.98,95,100,11.74,TH,1658377474
123,Hobart,-42.8794,147.3294,52.27,64,20,5.75,AU,1658377226
124,Asău,46.4333,26.4,67.28,75,0,3.53,RO,1658377384
125,Tonstad,58.6626,6.7169,63.12,88,98,5.64,NO,1658377474
126,Ormara,25.2088,64.6357,83.37,82,96,16.67,PK,1658377475
127,Katobu,-4.9408,122.5276,80.47,84,55,8.59,ID,1658377475
128,Saint Paul Harbor,57.79,-152.4072,56.71,67,20,10.36,US,1658377475
129,Payo,-3.7508,103.6372,88.54,58,14,2.19,ID,1658377476
130,Pacific Grove,36.6177,-121.9166,59.54,91,100,10.0,US,1658377476
131,Bluff,-46.6,168.3333,48.79,71,100,8.66,NZ,1658377476
132,Bethel,41.3712,-73.414,79.63,81,1,3.58,US,1658377477
133,Hailar,49.2,119.7,85.28,32,10,4.25,CN,1658377477
134,Boa Vista,2.8197,-60.6733,78.78,78,40,3.44,BR,1658377477
135,Soyo,-6.1349,12.3689,68.25,94,10,5.84,AO,1658377478
136,Jamestown,42.097,-79.2353,76.71,88,75,9.22,US,1658377396
137,Lorengau,-2.0226,147.2712,84.25,67,89,4.72,PG,1658377478
138,Koslan,63.4564,48.8989,68.25,62,39,5.93,RU,1658377479
139,Severo-Kuril'sk,50.6789,156.125,52.02,97,98,14.29,RU,1658377479
140,Sabang,5.8933,95.3214,83.1,71,90,16.89,ID,1658377479
141,Hermanus,-34.4187,19.2345,49.5,75,1,5.53,ZA,1658377480
142,Nanortalik,60.1432,-45.2371,49.03,87,11,13.27,GL,1658377396
143,Tura,25.5198,90.2201,80.13,87,99,4.63,IN,1658377480
144,Namatanai,-3.6667,152.4333,84.13,69,40,7.34,PG,1658377481
145,Davidson,36.1501,-86.7833,88.09,75,75,9.22,US,1658377481
146,Bonthe,7.5264,-12.505,75.16,86,100,9.78,SL,1658377481
147,George Town,5.4112,100.3354,88.9,70,20,3.44,MY,1658377481
148,Ilmajoki,62.7333,22.5667,64.22,58,0,9.22,FI,1658377482
149,Geraldton,-28.7667,114.6,64.81,88,75,12.66,AU,1658377482
150,Gander,48.9682,-54.5906,59.16,93,100,10.36,CA,1658377482
151,Morādābād,28.8333,78.7833,89.04,57,100,10.87,IN,1658377483
152,Touros,-5.1989,-35.4608,72.45,93,95,8.28,BR,1658377483
153,Kemijärvi,66.7131,27.4306,61.32,69,69,3.24,FI,1658377483
154,East London,-33.0153,27.9116,56.34,100,20,8.05,ZA,1658377218
155,Hasaki,35.7333,140.8333,90.28,79,93,8.84,JP,1658377484
156,Arraial do Cabo,-22.9661,-42.0278,70.29,83,41,9.95,BR,1658377227
157,Mithi,24.7318,69.7981,87.19,66,78,21.85,PK,1658377484
158,Ludza,56.55,27.7167,58.01,78,8,9.26,LV,1658377484
159,San Quintín,30.4833,-115.95,69.73,79,2,9.51,MX,1658377485
160,Saint-Pierre,-21.3393,55.4781,69.48,62,1,16.11,RE,1658377485
161,Katsuura,35.1333,140.3,81.36,77,92,8.88,JP,1658377486
162,Provideniya,64.3833,-173.3,44.71,70,75,20.13,RU,1658377486
163,Dunedin,-45.8742,170.5036,45.81,65,92,14.0,NZ,1658377209
164,Port Hawkesbury,45.6169,-61.3485,66.15,75,0,8.05,CA,1658377486
165,Antofagasta,-23.65,-70.4,56.48,87,100,1.36,CL,1658377384
166,Labuhan,-6.8844,112.2051,85.68,57,25,6.15,ID,1658377487
167,Puqi,29.7167,113.8833,92.62,61,99,7.85,CN,1658377487
168,Cabo San Lucas,22.8909,-109.9124,88.9,54,0,17.27,MX,1658377487
169,Sol'-Iletsk,51.1631,54.9918,72.03,45,4,5.55,RU,1658377488
170,Umeå,63.8284,20.2597,58.93,94,0,2.3,SE,1658377488
171,Tazovsky,67.4667,78.7,45.36,86,100,8.03,RU,1658377489
172,Viedma,-40.8135,-62.9967,47.68,37,84,23.64,AR,1658377228
173,Carutapera,-1.195,-46.02,74.93,91,35,4.03,BR,1658377489
174,Pinawa,50.1489,-95.8811,63.7,78,1,9.64,CA,1658377490
175,Kavaratti,10.5669,72.642,80.98,79,100,20.29,IN,1658377490
176,Ponta Delgada,37.7333,-25.6667,75.51,94,40,2.3,PT,1658377490
177,Pisco,-13.7,-76.2167,60.85,77,100,4.61,PE,1658377491
178,Brookings,44.3114,-96.7984,75.2,79,40,5.75,US,1658377491
179,Kavarskas,55.4333,24.9167,57.06,89,14,5.86,LT,1658377492
180,Manokwari,-0.8667,134.0833,83.21,71,71,3.94,ID,1658377492
181,Santa Isabel Rio Negro,-0.4139,-65.0192,71.49,99,98,1.7,BR,1658377492
182,Nuuk,64.1835,-51.7216,59.61,67,100,25.32,GL,1658377493
183,Ulkan,57.243,107.3223,72.52,47,100,3.36,RU,1658377493
184,Norman Wells,65.282,-126.8329,71.64,49,75,2.3,CA,1658377493
185,Fortuna,40.5982,-124.1573,56.35,89,8,5.12,US,1658377364
186,Ngunguru,-35.6167,174.5,56.52,64,11,18.95,NZ,1658377494
187,Rafaela,-31.2503,-61.4867,57.99,58,100,5.21,AR,1658377494
188,Puerto Ayora,-0.7393,-90.3518,68.56,95,75,1.01,EC,1658377227
189,Yakuplu,40.9889,28.6758,67.35,83,0,2.3,TR,1658377495
190,Vao,-22.6667,167.4833,74.19,89,100,12.28,NC,1658377495
191,Ovalle,-30.5983,-71.2003,55.6,84,0,2.48,CL,1658377495
192,Yangjiang,21.85,111.9667,86.81,74,15,12.37,CN,1658377269
193,Khovd,48.0056,91.6419,66.04,33,2,3.76,MN,1658377496
194,Lavrentiya,65.5833,-171.0,40.19,74,100,19.95,RU,1658377496
195,Souillac,-20.5167,57.5167,66.58,94,75,20.71,MU,1658377497
196,Port Blair,11.6667,92.75,84.24,84,100,6.91,IN,1658377386
197,Saint-Philippe,-21.3585,55.7679,69.39,79,47,16.62,RE,1658376973
198,Lata,40.1629,-8.3327,58.96,88,0,1.52,PT,1658377497
199,Borogontsy,62.6683,131.1683,84.43,42,99,8.21,RU,1658377498
200,Bayburt,40.2589,40.2278,56.86,79,100,2.95,TR,1658377498
201,Belaya Gora,68.5333,146.4167,61.29,43,19,6.82,RU,1658377230
202,Chapais,49.7834,-74.8492,65.98,97,100,6.55,CA,1658377498
203,Abhā,18.2164,42.5053,66.02,72,0,4.61,SA,1658377499
204,Olafsvik,64.8945,-23.7142,50.83,71,90,5.46,IS,1658376973
205,Moroni,-11.7022,43.2551,69.8,73,20,3.44,KM,1658377499
206,New Norfolk,-42.7826,147.0587,51.93,53,0,2.1,AU,1658377500
207,Egvekinot,66.3167,-179.1667,44.56,52,85,8.25,RU,1658377500
208,Hong Kong,22.2855,114.1577,93.25,99,10,9.24,HK,1658377500
209,Villarrica,-25.75,-56.4333,66.51,72,57,3.6,PY,1658377501
210,Zhicheng,30.2956,111.5047,83.98,79,100,2.62,CN,1658377501
211,Maridi,4.9158,29.4742,63.19,97,24,1.77,SS,1658377501
212,Sehithwa,-20.4667,22.7167,55.27,62,68,4.83,BW,1658377502
213,Luganville,-15.5333,167.1667,83.28,71,17,9.42,VU,1658377502
214,Tucupita,9.0622,-62.051,73.02,98,100,2.89,VE,1658377503
215,Mashhad,36.297,59.6062,86.14,32,0,4.61,IR,1658377503
216,Najrān,17.4924,44.1277,83.05,44,83,4.47,SA,1658377503
217,Te Anau,-45.4167,167.7167,42.98,86,94,2.62,NZ,1658377504
218,Port Lincoln,-34.7333,135.8667,55.94,62,25,16.53,AU,1658377454
219,Pochutla,15.7432,-96.4661,80.42,90,84,3.44,MX,1658377504
220,Saint George,37.1041,-113.5841,100.99,19,0,10.36,US,1658377261
221,Noumea,-22.2763,166.4572,79.0,99,100,13.62,NC,1658377505
222,Guerrero Negro,27.9769,-114.0611,70.16,76,14,15.61,MX,1658377505
223,Kaitangata,-46.2817,169.8464,45.01,80,94,8.23,NZ,1658377383
224,Tashla,51.7716,52.7427,71.82,47,11,4.16,RU,1658377506
225,Thongwa,16.7619,96.5278,80.76,79,100,6.17,MM,1658377506
226,Kerema,-7.9631,145.7785,81.59,80,17,10.71,PG,1658377507
227,Fort Collins,40.5853,-105.0844,78.04,50,0,12.66,US,1658377227
228,Tegul'det,57.3064,88.1667,67.98,65,96,6.87,RU,1658377507
229,Kruisfontein,-34.0033,24.7314,47.88,92,4,7.34,ZA,1658377507
230,Mossamedes,-15.1961,12.1522,64.09,68,0,5.57,AO,1658377381
231,Cape Coast,5.1053,-1.2466,72.66,78,35,8.48,GH,1658377508
232,Padang,-0.9492,100.3543,86.05,67,36,5.08,ID,1658377312
233,Nizwá,22.9333,57.5333,83.68,74,51,1.34,OM,1658377508
234,Goose Creek,32.981,-80.0326,78.89,92,20,11.5,US,1658377509
235,Puerto Escondido,15.85,-97.0667,83.23,69,40,3.44,MX,1658377509
236,Puerto El Triunfo,13.2833,-88.55,79.27,81,93,4.81,SV,1658377509
237,Hirara,24.8,125.2833,91.67,66,20,13.8,JP,1658377510
238,Los Llanos de Aridane,28.6585,-17.9182,67.75,83,40,16.11,ES,1658377466
239,Tarifa,36.0139,-5.607,75.15,95,15,12.86,ES,1658377510
240,Iqaluit,63.7506,-68.5145,53.33,87,100,4.61,CA,1658377511
241,Ostrovnoy,68.0531,39.5131,52.2,84,24,3.38,RU,1658377453
242,Qingdao,36.0986,120.3719,82.0,69,75,2.24,CN,1658377511
243,Durban,-29.8579,31.0292,63.01,85,3,3.0,ZA,1658377237
244,Ribeira Grande,38.5167,-28.7,72.41,86,7,3.4,PT,1658377232
245,Jalu,29.0331,21.5482,70.41,56,0,9.28,LY,1658377512
246,Skibbereen,51.55,-9.2667,56.1,85,34,4.61,IE,1658377512
247,Ahipara,-35.1667,173.1667,57.31,64,13,17.54,NZ,1658377512
248,Ottersberg,53.1,9.15,66.45,91,100,11.03,DE,1658377513
249,Soma,39.1855,27.6094,62.38,82,0,7.81,TR,1658377513
250,Quelimane,-17.8786,36.8883,66.15,94,20,2.3,MZ,1658377513
251,Mount Isa,-20.7333,139.5,71.37,20,1,13.8,AU,1658377514
252,Eucaliptus,-17.5833,-67.5167,43.14,35,2,3.36,BO,1658377514
253,Vila Franca do Campo,37.7167,-25.4333,75.2,90,43,0.87,PT,1658377514
254,Orocuina,13.4817,-87.105,76.73,73,100,6.02,HN,1658377515
255,Luang Prabang,19.8856,102.1347,87.76,70,75,4.61,LA,1658377515
256,Cravo Norte,6.3017,-70.2041,74.46,93,92,4.34,CO,1658377515
257,Waingapu,-9.6567,120.2641,84.4,54,77,11.39,ID,1658377516
258,Grindavik,63.8424,-22.4338,49.95,93,75,6.91,IS,1658377516
259,Skjervøy,70.0311,20.9714,62.6,79,48,8.81,NO,1658377517
260,College,64.8569,-147.8028,67.59,57,75,5.75,US,1658377490
261,Marawi,7.9986,124.2928,78.22,80,74,5.41,PH,1658377517
262,Ust'-Kut,56.7938,105.7672,74.3,46,80,3.04,RU,1658377518
263,Awjilah,29.1081,21.2869,70.27,56,0,9.26,LY,1658377518
264,Ankpa,7.3706,7.6253,68.83,96,100,6.8,NG,1658377518
265,Oddur,4.1213,43.8894,68.41,76,17,18.39,SO,1658377519
266,Meïganga,6.5167,14.3,63.75,99,92,2.04,CM,1658377519
267,Kurchum,48.5722,83.6542,80.2,26,80,14.47,KZ,1658377519
268,Hongjiang,27.11,109.9956,92.71,53,99,9.48,CN,1658377520
269,Wanning,18.8003,110.3967,83.73,84,15,14.23,CN,1658377520
270,Lompoc,34.6391,-120.4579,68.77,92,75,6.91,US,1658377521
271,Semporna,4.4818,118.6112,86.29,66,33,3.83,MY,1658377521
272,Aklavik,68.2191,-135.0107,61.41,53,100,9.04,CA,1658377521
273,Iturama,-19.7281,-50.1956,68.92,40,3,4.9,BR,1658377522
274,Ulagan,50.6321,87.9563,62.85,44,98,2.91,RU,1658377522
275,Bambous Virieux,-20.3428,57.7575,71.22,94,75,20.71,MU,1658377490
276,Aranos,-24.1333,19.1167,48.04,49,0,6.49,NA,1658377522
277,Ukiah,39.1502,-123.2078,71.37,66,0,4.7,US,1658377523
278,Naze,28.3667,129.4833,88.72,78,85,18.75,JP,1658377523
279,Bathsheba,13.2167,-59.5167,83.01,95,40,19.57,BB,1658377387
